Sample	Chromosome	Start.Position	End.Position	Num.markers	Seg.CN
PAINLN	2	15033009	33333818	1997	0.0869762226939201
PAINRC	2	15510932	17196340	205	0.995697796344757
PAIPGU	2	14233702	18376972	451	0.185076057910919
PAIRIK	2	13829401	18103605	449	-0.0174883548170328
PAIRLN	2	16061170	16130047	9	0.309258967638016
PAISNS	2	0	46771579	6013	0.0142380958423018
PAISSH	2	15904458	17679611	206	0.562200665473938
PAISSH	2	0	90240473	10370	0.125016748905182
PAITCI	2	15380356	19773282	523	0.132550254464149
PAITEG	2	10502207	18388524	954	-0.0068496791645884
PAITFA	2	0	89128996	10378	0.0090033449232578
PAITRM	2	0	18384413	2401	-6.67142667225562e-05
PAITZV	2	5459752	52107254	6030	0.0766305439174175
PAIULB	2	15901524	17482997	196	0.584237784147263
PAIVFJ	2	0	23762494	3111	0.0174478404223919
PAIVHE	2	10426383	41754484	3675	0.176935285329819
PAIVHE	2	0	90240473	10373	0.0930216982960701
PAIVMJ	2	0	27802149	3298	0.0945872366428375
PAIVRB	2	0	37543457	4621	0.014512681402266
PAIVZR	2	14540724	16785704	259	1.03333854675293
PAIWBX	2	14600963	16556634	224	0.245509885251522
PAIWBZ	2	15646489	18315912	309	0.290023058652878
PAIWEH	2	0	59790628	7432	0.544259041547775
PAIWHU	2	0	70767026	8616	0.171437323093414
PAIWKK	2	0	43912997	5346	0.65567746758461
PAIWKK	2	0	43912997	5346	0.694710373878479
PAIWLL	2	15528681	16823884	161	4.31127309799194
PAIWLL	2	15528681	16823884	161	4.33435964584351
PAIWMI	2	15788477	16828446	153	2.02167010307312
PAIWMX	2	14040218	43103773	3319	0.0175759270787239
PAIWMX	2	0	89128996	10378	0.0099176173098385
PAIWNT	2	0	27810892	3298	0.274126201868057
PAIWTE	2	14364870	19773282	618	0.119183730334044
PAIWUJ	2	0	67373715	8204	0.25091652572155
PAIWVG	2	14268984	30912615	1783	0.0178777519613504
PAIWVG	2	14253419	31279585	1862	0.0106387343257666
PAIWWN	2	13248419	37953880	2819	0.0501200594007969
PAIWZA	2	14218274	17229879	336	0.0451762173324823
PAIXAY	2	0	90240473	10379	0.0588460005819798
PAIXFT	2	12806206	18371915	589	0.211703717708588
PAIXFZ	2	14218274	18364666	450	-0.0005948777970843
PAIXHH	2	0	89125131	10378	0.218328818678856
PAIXIF	2	14630974	17226642	302	0.298559203743935
PAIXJX	2	11890787	44526786	3786	0.219200037419796
PAIXLC	2	0	42348005	5180	0.334076464176178
PAIXLY	2	15692089	16848440	167	-0.275681138038635
PAIXMM	2	0	47837472	6056	0.380619004368782
PAIXNC	2	3299474	18552129	1947	0.302460998296738
PAIXNG	2	0	89125131	10377	0.008248389698565
PAIXNV	2	14235100	18847157	526	0.0105387978255749
PAIXPL	2	0	90240473	10371	0.016758494079113
PAIXPU	2	15375471	17638449	250	-0.012914371676743
PAIXRK	2	15609246	16371046	98	1.63937723636627
PAIXST	2	1600681	44197173	5225	0.284574389457703
PAIXVH	2	0	29533563	3509	0.230903536081314
PAKANZ	2	0	30104258	3722	0.19200986623764
PAKEIY	2	13844339	20604056	779	-0.0176449343562126
PAKEKY	2	10098931	17247457	912	0.0124285407364368
PAKFNB	2	0	89128996	10378	-0.0058483001776039
PAKFRB	2	0	59443215	7397	0.134201183915138
PAKFUY	2	0	45531499	5608	0.285105347633362
PAKFUY	2	0	90240473	10379	0.223932981491089
PAKFVB	2	0	90240473	10379	-0.0246612057089806
PAKGAB	2	0	89128996	10377	-0.019161282107234
PAKGCI	2	471058	52649681	6655	0.0116592701524496
PAKGEJ	2	0	36636570	4492	-0.0032673521200195
PAKGGW	2	0	36055965	4387	0.103842943906784
PAKGKH	2	13818381	16735426	312	0.252816289663315
PAKGMY	2	15056325	17092644	255	1.56434905529022
PAKHAE	2	14606675	16848440	266	-0.0055095115676522
PAKHAE	2	0	89125131	10611	-0.0219363402575254
PAKHAV	2	12419889	33793887	2357	0.134913519024849
PAKHCF	2	0	34427312	4219	0.109616324305534
PAKHHB	2	15810471	16408635	91	1.38238525390625
PAKHHB	2	15587975	16444489	110	1.46290051937103
PAKHHZ	2	5895923	76922689	8462	0.289843454957008
PAKIAP	2	0	90240473	10378	-0.0028461094480007
PAKIMK	2	14653241	16293836	194	1.60116064548492
PAKINP	2	9552004	31252923	2509	0.0419275648891926
PAKIPY	2	2764932	17020388	1901	0.0938726291060448
PAKIRR	2	15970516	16834132	106	1.85279631614685
PAKIVG	2	0	89125131	10377	-0.0130246775224805
PAKIZR	2	0	47020997	5904	0.073819424957037
PAKJBA	2	14978060	16969308	254	0.675094962120056
PAKJBX	2	0	49519347	6268	0.0103925298899412
PAKJFU	2	13972295	18364666	474	0.0628105010837317
PAKJRE	2	16002010	21422408	671	0.0340288765728474
PAKJYZ	2	6580695	19591652	1631	0.221899315714836
PAKJZD	2	12806206	86040194	8415	0.177133470773697
PAKJZE	2	0	46803411	5879	-0.0634836256504059
PAKLAM	2	0	23762494	3034	0.237391449511051
PAKLPR	2	0	90240473	10379	0.0022038021124899
PAKLPR	2	11012437	17218931	752	-0.0059121279045939
PAKLTE	2	14013177	16890385	321	0.195121169090271
PAKLWT	2	15919901	17196340	158	1.38289499282837
PAKMBX	2	0	89128996	10375	-0.009702805429697
PAKMDB	2	2713625	28042054	2966	0.0634866654872894
PAKMRM	2	15796777	16423747	96	1.66968178749084
PAKMVG	2	14661456	16112059	169	-0.0312637127935886
PAKMVJ	2	8285007	16101343	974	-0.0229653166607022
PAKNAJ	2	0	19456520	2525	-0.0760766193270683
PAKNXW	2	15947530	16386320	51	1.27952969074249
PAKNZZ	2	0	90240473	10379	0.19321808218956
PAKPBK	2	16032354	38098379	2563	0.228957667946815
PAKPJE	2	0	89125131	10378	0.0075968948658555
PAKPLH	2	0	32920208	4036	0.418801888823509
PAKPUT	2	4549075	25060728	2470	-0.0146017596125603
PAKRBA	2	0	17381351	2297	0.0473252572119236
PAKRGC	2	13620645	19028395	607	0.199664562940598
PAKRKL	2	9952084	19784465	1227	0.0779437124729156
PAKRPD	2	14760774	16408635	187	1.58847177028656
PAKRZV	2	4284811	30032077	3013	-0.011565818451345
PAKSCM	2	14327880	19551185	588	0.213508464396
PAKSFV	2	12990356	18831663	646	0.115474056452513
PAKSSK	2	8819052	23215731	1721	0.0394408479332924
PAKSWB	2	11893180	18022666	687	0.108067892491817
PAKTEA	2	13837954	20502817	777	0.0950402244925499
PAKTXL	2	15507344	16479014	118	1.00872093439102
PAKUAW	2	0	90240473	10377	0.0086200227960944
PAKUJM	2	0	69237949	8476	-0.0015659765340387
PAKUXT	2	13623908	18417531	520	0.153405979275703
PAKVFT	2	15528681	16525432	118	1.59254789352417
PAKWCJ	2	13678061	90240473	8485	0.0703121274709702
PAKWGF	2	0	33342871	4023	0.0896643176674843
PAKWMT	2	10541804	28021147	1896	0.0892286002635956
PAKWUV	2	0	42572230	5205	0.392674684524536
PAKWWF	2	0	40356369	5084	0.0520562697201967
PAKXDF	2	7405983	30838509	2649	0.268533676862717
PAKXDZ	2	16048002	16423747	39	-0.0556762926280499
PAKXIA	2	4284811	90240473	9993	0.0426599532365799
PAKXNY	2	14218274	17196340	330	0.0910012945532799
PAKYAY	2	15713836	16380457	95	1.17105436325073
PAKYAZ	2	0	90240473	10379	-0.162041068077087
PAKYJX	2	0	90240473	10378	0.0057430283632129
PAKYMG	2	0	20122083	2639	-0.0059036137536168
PAKYMG	2	0	51920476	6594	0.0032569582108408
PAKYMN	2	0	90240473	10379	0.107664443552494
PAKYMV	2	661657	34969864	4194	0.284262090921402
PAKYMW	2	8792180	18376972	1171	0.0474255569279194
PAKYRJ	2	0	90240473	10613	0.0831350460648537
PAKYSH	2	347086	34393738	4192	0.0778628773987293
PAKYZE	2	0	38328239	4756	-0.0066466415300965
PAKYZS	2	7111818	18680667	1463	0.0273691304028034
PAKZHI	2	6314683	54649051	6052	-0.0036677774041891
PAKZRE	2	0	43853116	5339	0.496938496828079
PAKZRF	2	0	18315593	2393	0.280870735645294
PAKZRH	2	13303453	25060728	1242	-0.041259765625
PALADE	2	7095540	34060724	3140	0.166704803705215
PALAJR	2	13448046	17230260	409	-0.0162897035479546
PALAKC	2	10014299	26891915	1876	0.118516467511654
PALAKC	2	4095937	23215731	2367	0.112833924591541
PALAKE	2	14973939	18009844	334	1.54168790578842
PALAKM	2	0	24825588	3096	0.230364985764027
PALAPJ	2	12969527	45426670	3753	0.0857279300689697
PALATJ	2	0	42979252	5231	0.103533871471882
PALBAH	2	14013177	17267384	358	0.0196899082511663
PALBCM	2	0	90240473	10379	0.273745179176331
PALBCY	2	10839396	23176363	1445	0.0894004926085472
PALBCY	2	13073180	19807843	746	0.0940511785447598
PALBDS	2	3822164	55481091	6493	0.22640959918499
PALBEB	2	12990356	40639987	3198	0.148993484675884
PALBFW	2	0	46734599	5867	0.0918996408581734
PALBSI	2	10508568	82242876	8461	0.181720852851868
PALBWZ	2	14540724	18156709	396	-0.0236941082403064
PALCBW	2	13745328	46095464	3820	0.011497390922159
PALCUZ	2	10071042	17946322	967	0.734288156032562
PALCVK	2	0	19678627	2563	-0.0086656017228961
PALEAC	2	0	33334999	4018	0.191542871296406
PALEBK	2	9952023	29753381	2221	0.0060196667909622
PALECA	2	10935157	23017681	1416	0.0970981791615486
PALEEK	2	16047500	16525432	51	1.21695137023926
PALEND	2	0	48131124	6237	-0.10837796330452
PALETJ	2	0	17045927	2272	0.111440990120173
PALETP	2	0	90240473	10614	0.0659737139940262
PALEVG	2	15003093	16449101	185	0.555707693099976
PALFPG	2	0	52349118	6657	0.109440997242928
PALFPI	2	13092975	35239589	2460	0.324893102049828
PALFPS	2	15788477	16456125	104	1.39578610658646
PALFRE	2	0	89125131	10377	0.0082895467057824
PALFSE	2	0	43014704	5236	0.103482935577631
PALFSZ	2	10334300	39120854	3457	0.174443334341049
PALFTD	2	0	17229879	2284	0.0022158222272992
PALFVJ	2	0	32519067	3931	0.0006774206412956
PALFXR	2	15979755	16130047	18	0.660972267389297
PALFYS	2	15056325	17324533	274	1.71844547986984
PALGFF	2	11031668	19674060	1028	0.142804987728596
PALGGL	2	14233702	18331428	444	0.0963604338467121
PALGXF	2	6314683	55061344	6102	-0.0166714368388057
PALHCB	2	14773619	18330037	390	0.0230825385078788
PALHKS	2	0	90240473	10379	-0.0428037382662296
PALHTR	2	15105915	16392092	157	1.43473935127258
PALHVD	2	0	35523833	4324	0.31164738535881
PALHVD	2	5624533	29067084	2657	0.411840796470642
PALIDE	2	15357495	23888469	982	-0.0036976833362132
PALIFG	2	0	47195666	5936	-0.0223874347284436
PALIIN	2	0	37972225	4682	-0.0095306015573442
PALJDX	2	15796777	16779310	140	1.4768813252449
PALJDX	2	15796777	16779310	140	1.56687873601913
PALJFH	2	7554735	46972442	4804	0.0683198161423206
PALJPF	2	15796777	16188453	78	1.45890694856644
PALJPX	2	12857012	16986394	451	1.04640257358551
PALJUV	2	0	23296585	2966	0.0079958220012486
PALJVX	2	0	29377402	3555	-0.0108098220080137
PALJXU	2	0	51030202	6485	0.104067407548428
PALJZV	2	15445127	16801263	163	1.11091816425323
PALKER	2	10649798	17607850	842	0.255277886986732
PALKKL	2	0	89125131	10378	0.0847586877644062
PALKKV	2	15960568	17655917	182	-0.0073752647731453
PALKNC	2	13199970	40642186	3167	-0.003914083354175
PALKST	2	8587919	18588883	1219	0.0037785705644637
PALKUC	2	14790769	16293836	173	1.31781303882599
PALKXJ	2	0	46080979	5718	0.216903492808342
PALKXL	2	2978177	48990757	5754	0.100845221430063
PALKXX	2	0	90240473	10379	0.296283304691315
PALLDC	2	12961082	19674060	735	0.0339376479387283
PALLDU	2	0	20140948	2640	-0.0052444455213844
PALLJJ	2	4646187	21301517	2159	0.0822802558541298
PALLWA	2	15796777	16914502	165	1.57725918292999
PALLZV	2	11691731	90240473	8747	0.0459764935076237
PALNAP	2	12119130	18376972	714	0.354766950011253
PALNFE	2	0	27842070	3301	0.164241120219231
PALNGL	2	0	51927878	6595	0.148002699017525
PALNHR	2	14807359	89128996	8370	0.0146003351546824
PALNIE	2	0	89125131	10377	-0.0039203008636832
PALNLU	2	3797509	17655917	1827	0.160879105329514
PALNMX	2	0	87447882	10536	0.042103311046958
PALNRP	2	11390093	20122083	1032	-0.0294117843732238
PALNTJ	2	12196840	26806332	1528	0.13013070076704
PALNVP	2	1519307	18300340	2219	0.0105791613459587
PALPGG	2	14052234	16512207	276	0.739070266485214
PALPGL	2	13166621	18376972	544	-0.037645710632205
PALPGL	2	8819052	18376972	1169	-0.036848533898592
PALPIA	2	16076014	16472456	47	1.88532364368439
PALPIN	2	0	30296257	3654	0.116015858948231
PALPKZ	2	7405427	38436105	3707	0.0702893063426018
PALPNM	2	0	89128996	10377	0.0322618521749973
PALPSY	2	14218274	18364666	450	0.193861186504364
PALPYT	2	6918449	89128996	9405	0.187796875834465
PALRCT	2	0	69243243	8476	-0.0245528789237142
PALRDI	2	0	90240473	10379	-0.048622403293848
PALRFJ	2	0	44115305	5390	0.216976180672646
PALRGM	2	4304237	33688643	3467	0.0084873437881469
PALRIA	2	0	33334999	4111	0.138951703906059
PALRIA	2	0	87420695	10533	0.158492758870125
PALSAE	2	835785	16118079	2065	0.197315007448196
PALSMX	2	14218274	18384413	453	-0.0051653487607836
PALTEG	2	14218274	27835898	1353	0.0607089065015316
PALTPM	2	7558329	25852179	2066	-0.0227582175284624
PALTXM	2	0	90240473	10374	0.186478540301323
PALTYB	2	13460067	17227826	408	-0.0011046013096347
PALTYS	2	15646489	16423747	103	1.56494271755219
PALUDH	2	0	90240473	10379	0.0416308231651783
PALUKI	2	14706967	18534570	425	0.279118448495865
PALURF	2	14501364	18376972	428	0.239958435297012
PALUST	2	0	89125131	10377	0.0418336503207684
PALUYS	2	12281007	17213154	555	0.263162523508072
PALVDR	2	0	61969280	7827	0.0688686147332191
PALVFV	2	9833514	17381351	972	0.211382776498795
PALVKK	2	0	89125131	10378	0.0035572146298363
PALVRB	2	12409595	36257953	2674	0.266077250242233
PALVSG	2	10268879	18030050	953	1.6054573059082
PALVUC	2	15376028	33334999	1950	0.0981133058667183
PALVVH	2	13670421	22161429	981	-0.0159870032221079
PALWEV	2	0	90240473	10372	0.353960052132607
PALWIP	2	0	27082929	3256	-0.086305420845747
PALWKV	2	914289	16525478	2098	-0.0819280594587326
PALWNI	2	0	89128996	10378	0.0717700608074665
PALWRG	2	16076014	16112059	3	-0.202760055661201
PALWSJ	2	0	90240473	10377	0.259373992681503
PALWUM	2	0	70437462	8570	0.0290536135435104
PALWVJ	2	0	48981084	6177	0.0649213269352913
PALWVX	2	15669721	16732897	140	1.21118170022964
PALWXP	2	12352026	16094004	414	0.0591757036745548
PALXAF	2	12961590	17467627	483	0.0403674393892288
PALXHW	2	0	55072951	6975	0.160832583904266
PALXMM	2	0	90240473	10379	-0.137023329734802
PALXRL	2	0	90240473	10609	0.157585546374321
PALXSU	2	0	89125131	10373	0.0142779881134629
PALXTB	2	0	34537179	4229	0.0598635636270046
PALXTE	2	6934655	17045927	1297	0.136038526892662
PALXUM	2	6596213	20792602	1824	0.181926697492599
PALXVY	2	0	39857323	4898	0.224004037678242
PALYLZ	2	10845478	38332284	3254	-0.0513338465243578
PALYPW	2	11498966	80994362	8408	0.0066939531825482
PALYVF	2	14295178	16542344	248	1.4923455119133
PALZHF	2	6653902	18384413	1471	0.0376974903047085
PALZMR	2	0	89125131	10370	0.25132828950882
PALZRB	2	0	90240473	10378	0.13817922770977
PALZRG	2	0	16118079	2157	0.840809941291809
PALZSL	2	15242462	16386320	135	1.54785454273224
PALZSL	2	15283658	16375668	127	1.61560642719269
PALZYF	2	0	90240473	10379	0.192936554551125
PALZZV	2	15772703	17059889	185	1.39254200458527
PAMACS	2	0	59515909	7408	0.0102914473973215
PAMAFV	2	8819052	19671707	1330	0.108006574213505
PAMAJT	2	6961907	26865031	2250	0.129779107868671
PAMAKZ	2	14246360	18371915	449	-0.0230823829770088
PAMAMR	2	0	90240473	10379	0.132624283432961
PAMANU	2	656982	18376972	2329	0.0186547432094812
PAMBAC	2	14807359	16962518	260	1.64983940124512
PAMBKU	2	0	89125131	10377	0.117109529674053
PAMBMJ	2	15243452	16546259	154	0.71891126036644
PAMBNU	2	12011189	17373112	626	0.0174165870994329
PAMBPH	2	14218274	19826243	639	0.0053079714998602
PAMBPH	2	12863835	16892891	436	0.0070674584712833
PAMCXF	2	0	80931969	9842	-0.0335584357380867
PAMCYK	2	13448046	18376972	525	-0.0349870733916759
PAMDHC	2	0	90240473	10367	0.192958146333694
PAMDXC	2	0	90240473	10379	0.196414396166801
PAMEEH	2	0	90240473	10375	0.109389901161194
PAMEVI	2	10912414	17237269	778	-0.011530471034348
PAMEZB	2	0	50886629	6459	0.188500210642815
PAMEZH	2	0	16625959	2216	0.538472920656204
PAMFBR	2	0	90240473	10379	0.187368959188461
PAMFHC	2	4405870	36629757	3869	-0.122189931571484
PAMFLZ	2	8518780	26856447	2040	0.123875476419926
PAMHDM	2	6172235	45489720	4855	0.0920663177967072
PAMHJI	2	0	90240473	10378	0.139890253543854
PAMHMK	2	0	77990606	9406	-0.0066514837089926
PAMHPN	2	0	55064711	6973	0.00036295762402
PAMIEV	2	11890787	31492837	2195	0.212004333734512
PAMIIU	2	15436723	18376972	326	0.0196060445159674
PAMIUG	2	0	42457217	5194	0.113059125840664
PAMIYK	2	14767010	17573034	314	0.241948813199997
PAMIZA	2	0	27868685	3305	0.470268398523331
PAMJBA	2	0	90240473	10379	0.0191655550152063
PAMJKM	2	0	89125131	10378	-0.0223651612177491
PAMJXC	2	1456913	41898168	4968	0.0591089110821486
PAMKBM	2	0	89125131	10378	0.152092814445496
PAMKGY	2	0	55061344	6971	0.0964135825634003
PAMKHK	2	0	75641260	9087	0.0231158286333084
PAMKPM	2	15898510	16976932	155	0.746739625930786
PAMKZW	2	14630974	18600577	449	2.20831394195557
PAMLMY	2	0	47609826	6030	0.383084088563919
PAMLNB	2	13953056	47841689	4135	-0.0070024491287767
PAMMMS	2	15851763	16818155	136	1.48881113529205
PAMMPC	2	14218274	18384413	453	-0.0075879292562604
PAMMTK	2	15273278	16386320	134	1.49981606006622
PAMMWD	2	15944823	16564745	76	1.5884330868721
PAMMXF	2	15521298	16743172	145	0.455674201250076
PAMNAL	2	0	48973326	6177	0.169729799032211
PAMNCL	2	7554735	41055854	3962	0.0363507140427828
PAMNLH	2	0	89125131	10378	0.0929543077945709
PAMNRY	2	15113488	17129637	246	0.147809460759163
PAMNXD	2	11890787	23178444	1288	0.115944527089596
PAMNYX	2	0	55064711	6973	-0.0015517038991674
PAMPFJ	2	15788477	16706143	135	0.975622951984406
PAMPFJ	2	15756145	16706143	137	1.01169264316559
PAMPWJ	2	15463496	37984930	2607	0.0051826676353812
PAMPWJ	2	15463496	33333818	1940	0.0140619766898453
PAMRAA	2	13367329	17196340	410	1.24061614274979
PAMRAA	2	13367329	17196340	410	1.24759721755981
PAMREY	2	0	90240473	10379	0.110908970236778
PAMRHB	2	13448046	49036638	4311	-0.0214529745280743
PAMRHB	2	15908189	16890780	135	1.51597917079926
PAMRIZ	2	0	90240473	10379	0.418005883693695
PAMRKI	2	12219789	17397221	588	-0.011573176831007
PAMRTG	2	6302150	16862196	1381	-0.0337811224162579
PAMRTG	2	0	19674060	2562	0.0387045834213495
PAMRWL	2	11706208	26204267	1546	0.144121937453747
PAMRWL	2	14366772	17226642	320	0.15223640203476
PAMSSZ	2	5829650	39169178	4070	0.199706889688969
PAMSUE	2	0	89125131	10378	-0.0848157629370689
PAMSXU	2	0	19595558	2548	0.0654242150485516
PAMSYI	2	13972295	16703766	301	1.07012355327606
PAMTBI	2	8275640	29763537	2401	0.0629364177584648
PAMTBI	2	11702810	40886417	3417	0.0552560165524483
PAMTPS	2	0	90240473	10379	-0.0409435294568539
PAMTUV	2	9992899	40619603	3657	0.0452834665775299
PAMUBS	2	0	56737700	7181	0.0113013181835413
PAMUFZ	2	13716900	17767377	422	0.724196135997772
PAMUTD	2	13703835	16895352	353	1.56916236877441
PAMVAG	2	14295178	17650599	366	0.233249217271805
PAMVAG	2	0	24080820	3052	0.0712567679584026
PAMVCL	2	2167090	40887531	4822	-0.0405518226325512
PAMVLG	2	14218274	16940150	310	0.233230523765087
PAMVRA	2	0	27845602	3302	-0.0055737262591719
PAMWHM	2	0	33677682	4069	0.138187184929848
PAMWHM	2	6596213	33334999	3099	0.1065593957901
PAMWSV	2	0	55064711	6973	0.0096244420856237
PAMWXR	2	9497834	18384413	1108	0.0151826939545572
PAMXCN	2	12370907	18552129	683	0.165547206997871
PAMXFC	2	0	36494493	4456	0.132475256919861
PAMXGF	2	15946365	16834132	113	1.14934146404266
PAMXJT	2	12372178	24664779	1343	0.0192277692258358
PAMXSL	2	6658486	34428979	3290	-0.0408635605126619
PAMXWF	2	0	40631554	5024	0.0841313973069191
PAMXYU	2	0	89125131	10373	0.184902057051659
PAMYBA	2	2512445	89128996	10092	-0.0078288069926202
PAMYCE	2	0	27742195	3295	0.0253051910549402
PAMYCK	2	15501212	16525432	120	1.61811065673828
PAMYGL	2	15507344	16683409	141	1.27375090122223
PAMYXR	2	15947530	16687443	90	0.797095775604248
PAMZCE	2	15815951	16815949	142	1.57079207897186
PAMZCY	2	0	89125131	10377	-0.008694214746356
PAMZGT	2	14734162	20376520	680	1.31962811946869
PAMZLY	2	0	36052053	4386	0.0019795102416537
PAMZMG	2	15880393	16941729	149	1.16206169128418
PAMZMV	2	0	55064711	6973	0.173191472887993
PAMZSH	2	0	40639987	5023	0.0411699861288071
PAMZUE	2	0	44863794	5478	0.0014408857678063
PAMZYP	2	15950166	16959848	130	0.764325559139252
PAMZZZ	2	15724000	16651229	133	1.30416560173035
PANAET	2	0	35712585	4351	0.072795145213604
PANAKY	2	15939746	17070153	144	0.721403449773788
PANANV	2	15802053	18783023	380	0.89834588766098
PANATD	2	15290997	17063794	218	1.613774061203
PANAYF	2	15733581	16651229	132	1.47474855184555
PANBCI	2	16002010	17360287	152	1.26111829280853
PANBJH	2	16070524	16461881	44	0.249036051332951
PANBMJ	2	0	37986483	4682	-0.0039854645729064
PANBSP	2	15027377	17237269	270	0.27136717736721
PANCBZ	2	0	90240473	10377	0.139084681868553
PANCCG	2	11854862	16611791	562	0.229387834668159
PANCYF	2	15894417	17063794	160	1.85406559705734
PANDHZ	2	0	33263039	4003	0.0049558850005269
PANDUZ	2	12218298	55064711	5262	0.338970214128494
PANENB	2	0	90240473	10379	0.21011808514595
PANEVZ	2	12551923	20444135	946	0.0496841110289097
PANFLF	2	893229	89125131	10279	0.0186870768666267
PANFVP	2	16030397	16118079	11	1.32091295719147
PANGHY	2	3127290	55062622	6518	0.0027722137747332
PANGNK	2	14970365	29310931	1455	0.156398713588715
PANGXK	2	12282340	17124623	552	0.0097212693654
PANHEU	2	10856558	34345661	2708	0.118518114089966
PANHVF	2	0	46962948	5900	0.299187660217285
PANHZS	2	0	89125131	10378	0.0542457439005375
PANIPC	2	13911360	16392092	268	1.10044968128204
PANJLH	2	15947530	16758767	100	0.488393142819405
PANJLH	2	15922864	16758767	111	0.563230574131012
PANJVU	2	0	33609934	4054	0.315056845545769
PANKFE	2	0	40639987	5026	0.004474421031773
PANKVF	2	15977567	16933186	117	1.30714344978333
PANLET	2	0	90240473	10379	0.0170871485024691
PANLPX	2	0	27742195	3295	0.058772474527359
PANNMS	2	0	70761033	8611	0.0210339464247227
PANPVI	2	0	89125131	10378	-0.0043523777276277
PANRHJ	2	15951478	30090968	1528	0.0696073137223721
PANRLC	2	0	90240473	10379	0.188349321484566
PANRPS	2	0	31641348	3898	0.259951829910278
PANRRN	2	0	35063228	4283	0.129937425255775
PANRRW	2	0	90240473	10374	-0.0060939427930861
PANRUV	2	0	17272546	2289	-0.005536442156881
PANRVJ	2	0	23175069	2945	0.0801172852516174
PANSBN	2	0	55064711	6973	0.004206973593682
PANSIC	2	3127290	55065221	6519	0.0085764499381184
PANUIF	2	0	34055393	4152	0.140893325209618
PANUKV	2	16032354	16461881	49	1.70089161396027
PANUVK	2	0	46799579	5876	0.293778494000435
PANVDL	2	14683320	29435269	1500	0.316410288214684
PANVZF	2	11023103	55482422	5509	-0.0119282100349665
PANWAT	2	3299474	47458656	5523	0.0868277028203011
PANWBG	2	15587975	16694055	141	0.643845200538635
PANWRR	2	0	41898168	5125	0.0033395052887499
PANXFX	2	0	40677228	5031	0.173352465033531
PANXJL	2	0	89125131	10377	-0.0245442092418671
PANYBL	2	0	31629775	3894	0.0316521059721708
